musica_buscada,titulo_video_encontrado,status,busca_limpa,titulo_limpo,similaridade
Главное ребята сердцем не стареть А. Пахмутова,"Александра Пахмутова. Главное, ребята, сердцем не стареть. Поет Владислав Коннов (1977)",Sucesso (Verificado),главное ребята сердцем не стареть а пахмутова,александра пахмутова главное ребята сердцем не стареть поет владислав коннов,98
"Гори, гори, моя звезда Пётр Булахов",Булахов Чуевский Гори гори моя звезда Сергей Лемешев 1940,Sucesso (Verificado),гори гори моя звезда пётр булахов,булахов чуевский гори гори моя звезда сергей лемешев 1940,90
Джон Грей Матвей Блантер,"""ДЖОН ГРЕЙ"" - Матвей Блантер, Владимир Масс. Поет Даниил Кручинин",Sucesso (Verificado),джон грей матвей блантер,джон грей матвей блантер владимир масс поет даниил кручинин,100
Дорогие мои москвичи И. Дунаевский,И.Дунаевский - Дорогие мои москвичи,Sucesso (Verificado),дорогие мои москвичи и дунаевский,идунаевский дорогие мои москвичи,95
Закон Архимеда наоборот В. Людвиковский,Закон Архимеда наоборот,Sucesso (Verificado),закон архимеда наоборот в людвиковский,закон архимеда наоборот,100
Колыбельная И. Дунаевский,Дунаевский КОЛЫБЕЛЬНАЯ.wmv,Sucesso (Verificado),колыбельная и дунаевский,дунаевский колыбельнаяwmv,90
Ландыши О. Фельцман,Ландыши – О. Фельцман,Sucesso (Verificado),ландыши о фельцман,ландыши о фельцман,100
Любимый город,Любимый город,Sucesso (Verificado),любимый город,любимый город,100
Люблю / Вдыхая розы аромат Ефим Розенфельд,Люблю / Вдыхая розы аромат (муз. Ефима Розенфельда - ст. Н. Венгерской),Sucesso (Verificado),люблю вдыхая розы аромат ефим розенфельд,люблю вдыхая розы аромат,100
Нам нужна одна победа,Нам нужна одна Победа | We Need One Victory【Russian Airborne March】,Sucesso (Verificado),нам нужна одна победа,нам нужна одна победа we need one victoryrussian airborne march,100
Песенка о медведях А. Зацепин,"Песенка о медведях (из кинофильма ""Кавказская пленница"")",Sucesso (Verificado),песенка о медведях а зацепин,песенка о медведях,100
Радостный день А. Цфасман,11 - Александр Цфасман - Радостный день / Alexander Tsfasman - A Joyful Day,Sucesso (Verificado),радостный день а цфасман,11 александр цфасман радостный день alexander tsfasman a joyful day,96
Серенада Трубадура «Луч солнца золотого…» Геннадий Гладков,Луч солнца золотого. Серенада Трубадура (из м/ф...,Sucesso (Verificado),серенада трубадура луч солнца золотого геннадий гладков,луч солнца золотого серенада трубадура из мф,93
Старый рояль Марк Минков,"""Старый рояль"" ( музыка-Марк Минков, слова-А.Иванов)",Sucesso (Verificado),старый рояль марк минков,старый рояль,100
Сердце / Как много девушек хороших Василий Лебедев-Кумач,"Как много девушек хороших Стихи: Василий Лебедев-Кумач  1934  Исполняет группа  ""Премьер-Министр""",Sucesso (Verificado),сердце как много девушек хороших василий лебедевкумач,как много девушек хороших стихи василий лебедевкумач 1934 исполняет группа премьерминистр,93
Цветущий Май А. Полонский,ЦВЕТУЩИЙ МАЙ фокстрот Артур Полонский,Sucesso (Verificado),цветущий май а полонский,цветущий май фокстрот артур полонский,96
Эти глаза напротив Д. Тухманов,Эти глаза напротив,Sucesso (Verificado),эти глаза напротив д тухманов,эти глаза напротив,100
Шаланды Никита Богословский,"Никита Богословский. Шаланды, полные кефали. Поет Марк Бернес",Sucesso (Verificado),шаланды никита богословский,никита богословский шаланды полные кефали поет марк бернес,100
12th Street Rag Euday L. Bowman,"12th Street Rag by Euday L. Bowman ~ Aaron Robinson, piano",Sucesso (Verificado),12th street rag euday l bowman,12th street rag by euday l bowman aaron robinson piano,100
42nd Street Harry Warren,Forty-Second Street by Harry Warren Arr. by Paul Cook (READ DESCRIPTION),Sucesso (Verificado),42nd street harry warren,fortysecond street by harry warren arr by paul cook,88
Я шагаю по Москве Андрей Петров,"Андрей Петров - Я Шагаю По Москве (1964) A. Petrov - Je M'Balade Dans Moscou, Vinyl 4K, 24bit/96kHz",Sucesso (Verificado),я шагаю по москве андрей петров,андрей петров я шагаю по москве a petrov je mbalade dans moscou vinyl 24bit96khz,100
502 Blues Jimmy Rowles,502 Blues (Drinkin' And Drivin') (Rudy Van Gelder Edition/2000 Digital Remaster/24 Bit Mastering),Sucesso (Verificado),502 blues jimmy rowles,502 blues,100
500 Miles High Chick Corea,500 Miles High,Sucesso (Verificado),500 miles high chick corea,500 miles high,100
52nd Street Theme Th. Monk,52nd Street Theme (1997 Remastered - Take D),Sucesso (Verificado),52nd street theme th monk,52nd street theme,100
9:20 Special Earle Warren,9-20 Special,Sucesso (Verificado),920 special earle warren,920 special,100
A Bientot Billy Taylor,A Bientot,Sucesso (Verificado),a bientot billy taylor,a bientot,100
"Beautiful Friendship, A",Beautiful Friendship – Franco Cerri & Dado Moroni Quartet (Official Audio) – Abeat Records,Sucesso (Verificado),beautiful friendship a,beautiful friendship franco cerri dado moroni quartet abeat records,95
A Chicken Ain’t Nothing But A Bird L. Jordan,Cab Calloway - A Chicken Ain't Nothing But A Bird (Official Audio),Sucesso (Verificado),a chicken aint nothing but a bird l jordan,cab calloway a chicken aint nothing but a bird,87
A Felicidade Antônio Carlos Jobim,A Felicidade,Sucesso (Verificado),a felicidade antônio carlos jobim,a felicidade,100
A Foggy Day George Gershwin,A Foggy Day (Remastered),Sucesso (Verificado),a foggy day george gershwin,a foggy day,100
A Night in Tunisia Dizzy Gillespie,A Night In Tunisia,Sucesso (Verificado),a night in tunisia dizzy gillespie,a night in tunisia,100
A Lot of Livin’ to Do,A Lot of Livin' to Do,Sucesso (Verificado),a lot of livin to do,a lot of livin to do,100
A Sunbonnet Blue Sammy Fain,A Sunbonnet Blue,Sucesso (Verificado),a sunbonnet blue sammy fain,a sunbonnet blue,100
A String of Pearls Jerry Gray,A String of Pearls arr Jerry Gray,Sucesso (Verificado),a string of pearls jerry gray,a string of pearls arr jerry gray,100
A Sound For Sore Ears Jimmy Heath,Jimmy Heath - A Sound for Sore Ears,Sucesso (Verificado),a sound for sore ears jimmy heath,jimmy heath a sound for sore ears,100
"A-Tisket, A-Tasket Ella Fitzgerald","Ella Fitzgerald - A-Tisket, A-Tasket (Audio)",Sucesso (Verificado),atisket atasket ella fitzgerald,ella fitzgerald atisket atasket,100
A Time For Love Johnny Mande,A Time For Love (music by Johnny Mandel  - Lyrics  by Paul Francis Webster),Sucesso (Verificado),a time for love johnny mande,a time for love,100
About A Quarter To Nine Harry Warren,"12-24-1893 Harry Warren, About A Quarter To Nine",Sucesso (Verificado),about a quarter to nine harry warren,12241893 harry warren about a quarter to nine,100
Ac-Dc Current Benny Goodman,AC-DC Current,Sucesso (Verificado),acdc current benny goodman,acdc current,100
Ac-Cent-Tchu-Ate The Positive Harold Arlen,Ac-Cent-Tchu-Ate the Positive,Sucesso (Verificado),accenttchuate the positive harold arlen,accenttchuate the positive,100
Ace in the Hole Cole Porter,Ace In The Hole,Sucesso (Verificado),ace in the hole cole porter,ace in the hole,100
Across The Alley From The Alamo Joe Greene,Across The Alley From The Alamo,Sucesso (Verificado),across the alley from the alamo joe greene,across the alley from the alamo,100
Adam`s Apple Wayne Shorter,Adam's Apple (Remastered 2000 / Rudy Van Gelder Edition),Sucesso (Verificado),adams apple wayne shorter,adams apple,100
Adagio Tomaso Albinoni,Tomaso Albinoni - Adagio in G Minor,Sucesso (Verificado),adagio tomaso albinoni,tomaso albinoni adagio in g minor,100
Africa John Coltrane,Africa,Sucesso (Verificado),africa john coltrane,africa,100
African Queen Horace Silver,The African Queen,Sucesso (Verificado),african queen horace silver,the african queen,87
Afro Blue Mongo Santamaria,Mongo Santamaria - Afro Blue (Official Audio),Sucesso (Verificado),afro blue mongo santamaria,mongo santamaria afro blue,100
"After You`ve Gone Turner Layton, Henry Creamer",After You've Gone (1918) - Henry Creamer - Turner Layton - Marion Harris - Rosario Bourdon,Sucesso (Verificado),after youve gone turner layton henry creamer,after youve gone henry creamer turner layton marion harris rosario bourdon,100
Ah-Leu-Cha (duo) Charlie Parker,Ah-leu-cha-Charlie Parker,Sucesso (Verificado),ahleucha charlie parker,ahleuchacharlie parker,98
Ah-Leu-Cha Charlie Parker,Ah-leu-cha-Charlie Parker,Sucesso (Verificado),ahleucha charlie parker,ahleuchacharlie parker,98
"Ain`t Misbehavin Fats Waller, Harry Brooks, Andy Razaf","04. Ain't misbehavin' (Fats Waller, Harry Brooks & Andy Razaf)",Sucesso (Verificado),aint misbehavin fats waller harry brooks andy razaf,04 aint misbehavin,91
Ain`t She Sweet Milton Ager,Ain't She Sweet,Sucesso (Verificado),aint she sweet milton ager,aint she sweet,100
Afternoon In Paris John Lewis,John Lewis & Sacha Distel. Afternoon in Paris.,Sucesso (Verificado),afternoon in paris john lewis,john lewis sacha distel afternoon in paris,100
Airegin Sonny Rollins,Sonny Rollins - Airegin (Audio Only),Sucesso (Verificado),airegin sonny rollins,sonny rollins airegin,100
Airmail Special Benny Goodman,"Benny Goodman - ""Airmail Special""",Sucesso (Verificado),airmail special benny goodman,benny goodman airmail special,100
Alcoholic Blues Albert Von Tilzer,Billy Murray - The Alcoholic Blues 1919 (Prohibition Song) Albert Von Tilzer,Sucesso (Verificado),alcoholic blues albert von tilzer,billy murray the alcoholic blues 1919 albert von tilzer,100
Alexander`s Ragtime Band Irving Berlin,Alexander's Ragtime Band,Sucesso (Verificado),alexanders ragtime band irving berlin,alexanders ragtime band,100
Alfie Burt Bacharach,Alfie,Sucesso (Verificado),alfie burt bacharach,alfie,100
Alfie`s Theme Sonny Rollins,Sonny Rollins - Alfie's Theme,Sucesso (Verificado),alfies theme sonny rollins,sonny rollins alfies theme,100
All Blues Miles Davis,Miles Davis - All Blues (Official Audio),Sucesso (Verificado),all blues miles davis,miles davis all blues,100
All My Tomorrows Jimmy van Heusen,All My Tomorrows (2008 Remastered),Sucesso (Verificado),all my tomorrows jimmy van heusen,all my tomorrows,100
All Or Nothing At All Arthur Altman,All or Nothing at All,Sucesso (Verificado),all or nothing at all arthur altman,all or nothing at all,100
All Of You Cole Porter,All of You,Sucesso (Verificado),all of you cole porter,all of you,100
All The Things You Are Jerome Kern,Jerome Kern - All The Things You Are [1939],Sucesso (Verificado),all the things you are jerome kern,jerome kern all the things you are,100
All Too Soon Duke Ellington,All Too Soon,Sucesso (Verificado),all too soon duke ellington,all too soon,100
Almost like being in love Frederick Loewe,Almost Like Being In Love by Frederick Loewe arr. Collins,Sucesso (Verificado),almost like being in love frederick loewe,almost like being in love by frederick loewe arr collins,100
Alone Together Arthur Schwartz,Alone Together- Arthur Schwartz /Howard Dietz,Sucesso (Verificado),alone together arthur schwartz,alone together arthur schwartz howard dietz,100
Along Came Betty Benny Golson,Benny Golson Sextet - Along Came Betty,Sucesso (Verificado),along came betty benny golson,benny golson sextet along came betty,100
Always And Forever Pat Metheny,Always and Forever,Sucesso (Verificado),always and forever pat metheny,always and forever,100
Always On My Mind Wayne Carson,Always On My Mind,Sucesso (Verificado),always on my mind wayne carson,always on my mind,100
Am I Blue Harry Akst,Am I Blue? (High Audio Version),Sucesso (Verificado),am i blue harry akst,am i blue,100
Amapola Joseph Lacalle,Amapola (Joseph M. Lacalle) (HQ Official Audio Video),Sucesso (Verificado),amapola joseph lacalle,amapola,100
Ana Maria,"Luísa Sonza, DUDA BEAT - Ana Maria (Áudio Oficial)",Sucesso (Verificado),ana maria,luísa sonza duda beat ana maria,100
Among My Souvenirs Horatio Nicholls,Among My Souvenirs - Horatio Nicholls / Jazz Backing Track,Sucesso (Verificado),among my souvenirs horatio nicholls,among my souvenirs horatio nicholls jazz backing track,100
And On The Third Day,The Gary Burton Quartet - And On The Third Day (HQ Audio),Sucesso (Verificado),and on the third day,the gary burton quartet and on the third day,100
Angel Eyes Matt Dennis,Matt Dennis - Angel Eyes,Sucesso (Verificado),angel eyes matt dennis,matt dennis angel eyes,100
Anthropology Charlie Parker,Charlie Parker - Anthropology,Sucesso (Verificado),anthropology charlie parker,charlie parker anthropology,100
Anything Goes Cole Porter,Cole Porter - Anything Goes (Official Audio),Sucesso (Verificado),anything goes cole porter,cole porter anything goes,100
April In Paris Vernon Duke,"April In Paris - Vernon Duke, Bob Lowden",Sucesso (Verificado),april in paris vernon duke,april in paris vernon duke bob lowden,100
Aquarela do Brasil Ary Barroso,Aquarela Do Brasil,Sucesso (Verificado),aquarela do brasil ary barroso,aquarela do brasil,100
Apple Core Gerry Mulligan,Apple Core,Sucesso (Verificado),apple core gerry mulligan,apple core,100
Are You Real Benny Golson,Are You Real,Sucesso (Verificado),are you real benny golson,are you real,100
As Time Goes By Herman Hupfeld,As time goes by (Herman Hupfeld) (HQ Official Audio Video),Sucesso (Verificado),as time goes by herman hupfeld,as time goes by,100
Armando’s Rhumba Chick Corea,Chick Corea Trilogy - Armando’s Rhumba (Official Audio),Sucesso (Verificado),armandos rhumba chick corea,chick corea trilogy armandos rhumba,100
At The Jazz Band Ball Nick LaRocca,At The Jazz Band Ball,Sucesso (Verificado),at the jazz band ball nick larocca,at the jazz band ball,100
Au Privave Charlie Parker,Au Privave (Take 3 Master),Sucesso (Verificado),au privave charlie parker,au privave,100
Avalon Al Jolson,Al Jolson - Avalon (1920),Sucesso (Verificado),avalon al jolson,al jolson avalon,100
Baby What You Want Me To Do Jimmy Reed,Baby What You Want Me To Do by Jimmy Reed from 'Mr. Luck',Sucesso (Verificado),baby what you want me to do jimmy reed,baby what you want me to do by jimmy reed from mr luck,100
Badinerie Johann Sebastian Bach,Badinerie - Johann Sebastian Bach,Sucesso (Verificado),badinerie johann sebastian bach,badinerie johann sebastian bach,100
Barbados Charlie Parker,BARBADOS by the Charlie Parker All Stars with Miles Davis 1948,Sucesso (Verificado),barbados charlie parker,barbados by the charlie parker all stars with miles davis 1948,100
"Baby, won`t you please come home Charles Warfield",Come Home | Charles Warfield | Prod. By DEAD1 | Baby Won't You Please Come Home |,Sucesso (Verificado),baby wont you please come home charles warfield,come home charles warfield prod by dead1 baby wont you please come home,100
Basin Street Blues Spencer Williams,Basin Street Blues by Spencer Williams | Arr. by Michael Sweeney,Sucesso (Verificado),basin street blues spencer williams,basin street blues by spencer williams arr by michael sweeney,100
Beale Street Blues W.C. Handy,Beale Street Blues,Sucesso (Verificado),beale street blues wc handy,beale street blues,100
Bei Mir Bist Du Shoen Sholom Secunda,Sholom Secunda - Bei Mir Bist Du Shein Arr. Alexander Vinitsky.,Sucesso (Verificado),bei mir bist du shoen sholom secunda,sholom secunda bei mir bist du shein arr alexander vinitsky,91
Beautiful Love Wayne King,Beautiful Love- Victor Young + Wayne King,Sucesso (Verificado),beautiful love wayne king,beautiful love victor young wayne king,100
Bésame Mucho Consuelo Velázquez,Consuelo Velazquez — Besame Mucho,Sucesso (Verificado),bésame mucho consuelo velázquez,consuelo velazquez besame mucho,97
Bebop Dizzy Gillespie,Be-Bop,Sucesso (Verificado),bebop dizzy gillespie,bebop,100
Between The Devil And The Deep Blue Sea Harold Arlen,Between the Devil and the Deep Blue Sea,Sucesso (Verificado),between the devil and the deep blue sea harold arlen,between the devil and the deep blue sea,100
Beyond the Sea Charles Trenet,"La Mer,  Beyond the Sea, Singer&writer Charles Trenet  -1946 original with Lyrics",Sucesso (Verificado),beyond the sea charles trenet,la mer beyond the sea singerwriter charles trenet 1946 original with s,100
Bidin’ My Time George Gershwin,Bidin' My Time,Sucesso (Verificado),bidin my time george gershwin,bidin my time,100
Bill Bailey Hughie Cannon,Oldie - Bill Bailey by Hughie Cannon (1902),Sucesso (Verificado),bill bailey hughie cannon,oldie bill bailey by hughie cannon,100
Billie`s bounce Charlie Parker,Billie's Bounce / Charlie Parker　The Savoy Recordings,Sucesso (Verificado),billies bounce charlie parker,billies bounce charlie parker the savoy recordings,100
Bird Alone Abbey Lincoln,Abbey Lincoln featuring Stan Getz - Bird alone,Sucesso (Verificado),bird alone abbey lincoln,abbey lincoln featuring stan getz bird alone,100
Bittersweet Sam Jones,Bittersweet,Sucesso (Verificado),bittersweet sam jones,bittersweet,100
Black and Blue Fats Waller,Black & Blue,Sucesso (Verificado),black and blue fats waller,black blue,100
Blame It on My Youth Oscar Levant,"""Blame It On My Youth"" Ned Sawyer and His Orchestra (1935) led by Nat Shilkret = Oscar Levant song",Sucesso (Verificado),blame it on my youth oscar levant,blame it on my youth ned sawyer and his orchestra led by nat shilkret oscar levant song,100
Black Orpheus Luiz Bonfá,Black Orpheus - Luiz Bonfa,Sucesso (Verificado),black orpheus luiz bonfá,black orpheus luiz bonfa,98
Bloomdido Charlie Parker,"""Bloomdido""   Charlie Parker and Dizzy Gillespie",Sucesso (Verificado),bloomdido charlie parker,bloomdido charlie parker and dizzy gillespie,100
Blue and Sentimental Count Basie,Blue and Sentimental (2004 Remaster),Sucesso (Verificado),blue and sentimental count basie,blue and sentimental,100
Blue Bossa Kenny Dorham,Blue Bossa I Kenny Dorham I Jazz,Sucesso (Verificado),blue bossa kenny dorham,blue bossa i kenny dorham i jazz,100
Blue Moon Richard Rodgers,Blue Moon (1999 Remastered),Sucesso (Verificado),blue moon richard rodgers,blue moon,100
Blue Room Richard Rodgers,Blue Room (Richard Rodgers),Sucesso (Verificado),blue room richard rodgers,blue room,100
Blue Monk Thelonious Monk,Thelonious Monk Quartet - Blue Monk,Sucesso (Verificado),blue monk thelonious monk,thelonious monk quartet blue monk,100
Blues For Dixie,Blues For Dixie,Sucesso (Verificado),blues for dixie,blues for dixie,100
Blues March Benny Golson,Blues March,Sucesso (Verificado),blues march benny golson,blues march,100
Blue Skies Iving Berlin,Blue Skies,Sucesso (Verificado),blue skies iving berlin,blue skies,100
Bluff Lelio Luttazzi,Bluff (Storia di truffe e di imbroglioni) - Lelio Luttazzi - 1976,Sucesso (Verificado),bluff lelio luttazzi,bluff lelio luttazzi 1976,100
Bluesette Toots Thielemans,Toots Thielemans - Bluesette,Sucesso (Verificado),bluesette toots thielemans,toots thielemans bluesette,100
Blues My Naughty Sweetie Gives To Me Charles McCarron,Blues My Naughty Sweetie Gives to Me,Sucesso (Verificado),blues my naughty sweetie gives to me charles mccarron,blues my naughty sweetie gives to me,100
Bohemia After Dark Oscar Pettiford,Bohemia After Dark,Sucesso (Verificado),bohemia after dark oscar pettiford,bohemia after dark,100
Body and Soul Johnny Green,Body and Soul (John Green),Sucesso (Verificado),body and soul johnny green,body and soul,100
Bop-Be Keith Jarrett,Bop-Be (Live),Sucesso (Verificado),bopbe keith jarrett,bopbe,100
Brain Cloudy Blues Merle Haggard,"Merle Haggard - ""Brain Cloudy Blues"" [Live from Austin, TX]",Sucesso (Verificado),brain cloudy blues merle haggard,merle haggard brain cloudy blues,100
"Brigas, Nunca Mais Antônio Carlos Jobim",Brigas Nunca Mais,Sucesso (Verificado),brigas nunca mais antônio carlos jobim,brigas nunca mais,100
Buddy Bolden Blues Jelly Roll Morton,Jelly Roll Morton - Buddy Bolden's Blues (1939),Sucesso (Verificado),buddy bolden blues jelly roll morton,jelly roll morton buddy boldens blues,99
But Beautiful Johnny Burke,But Beautiful,Sucesso (Verificado),but beautiful johnny burke,but beautiful,100
But Not For Me George Gershwin,But Not for Me,Sucesso (Verificado),but not for me george gershwin,but not for me,100
By a Waterfall Sammy Fain,By A Waterfall - Sammy Fain - Robert Farnon And His Orchestra - London B20006,Sucesso (Verificado),by a waterfall sammy fain,by a waterfall sammy fain robert farnon and his orchestra london b20006,100
Bye Bye Blues Fred Hamm,Bye Bye Blues / Fred Hamm and his Orchestra,Sucesso (Verificado),bye bye blues fred hamm,bye bye blues fred hamm and his orchestra,100
C Jam Blues Duke Ellington,C Jam Blues (Remastered),Sucesso (Verificado),c jam blues duke ellington,c jam blues,100
Bye Bye Blackbird Ray Henderson,Bye Bye Blackbird,Sucesso (Verificado),bye bye blackbird ray henderson,bye bye blackbird,100
Cabaret John Kander,"Cabaret (From ""Cabaret"")",Sucesso (Verificado),cabaret john kander,cabaret,100
Can Can,Offenbach - Can Can Music,Sucesso (Verificado),can can,offenbach can can music,100
Call Me Irresponsible Jimmy Van Heusen,Call Me Irresponsible (2001 Remaster),Sucesso (Verificado),call me irresponsible jimmy van heusen,call me irresponsible,100
Candy Alex Kramer,Candy (1944),Sucesso (Verificado),candy alex kramer,candy,100
Centerpiece,O.E. - Centerpiece (Audio),Sucesso (Verificado),centerpiece,oe centerpiece,100
Caravan Juan Tizol,Caravan,Sucesso (Verificado),caravan juan tizol,caravan,100
C`est Si Bon Henri Betti,C'est Si Bon,Sucesso (Verificado),cest si bon henri betti,cest si bon,100
Ceora Lee Morgan,Lee Morgan Quintet - Ceora,Sucesso (Verificado),ceora lee morgan,lee morgan quintet ceora,100
Chattanooga Choo-Choo Harry Warren,Chattanooga Choo-Choo,Sucesso (Verificado),chattanooga choochoo harry warren,chattanooga choochoo,100
Cheek To Cheek Irving Berlin,"Radio Serenaders ""Cheek To Cheek"" Irving Berlin song 1935 (Pat O'Malley & Jay Wilbur) LYRICS HERE",Sucesso (Verificado),cheek to cheek irving berlin,radio serenaders cheek to cheek irving berlin song 1935 s here,100
Chelsea Bridge Billy Strayhorn,"""Chelsea Bridge"" (1941) Duke Ellington/Billy Strayhorn",Sucesso (Verificado),chelsea bridge billy strayhorn,chelsea bridge duke ellingtonbilly strayhorn,89
Cherokee Ray Noble,1938 Ray Noble - Cherokee,Sucesso (Verificado),cherokee ray noble,1938 ray noble cherokee,100
Chameleon Herbie Hancock,Herbie Hancock - Chameleon (Official Audio),Sucesso (Verificado),chameleon herbie hancock,herbie hancock chameleon,100
Cherry Don Redman,Cherry – ( Don Redman – 1928 ),Sucesso (Verificado),cherry don redman,cherry,100
Chi Chi Charlie Parker,Chi Chi,Sucesso (Verificado),chi chi charlie parker,chi chi,100
Cheryl Charlie Parker,Cheryl,Sucesso (Verificado),cheryl charlie parker,cheryl,100
Chicago Fred Fisher,Chicago by Fred Fisher,Sucesso (Verificado),chicago fred fisher,chicago by fred fisher,100
Child Is Born Thad Jones,Thad Jones & Mel Lewis Jazz Orchestra - A Child Is Born,Sucesso (Verificado),child is born thad jones,thad jones mel lewis jazz orchestra a child is born,100
"Chinatown, My Chinatown Jean Schwartz","Chinatown, My Chinatown (78RPM Version)",Sucesso (Verificado),chinatown my chinatown jean schwartz,chinatown my chinatown,100
China Boy Phil Boutelje,"China Boy (1922), Phil Boutelje & Dick Winfree",Sucesso (Verificado),china boy phil boutelje,china boy phil boutelje dick winfree,100
