musica_buscada,titulo_video_encontrado,status,busca_limpa,titulo_limpo,similaridade
Por una Cabeza Carlos Gardel,Carlos Gardel - Por Una Cabeza (Audio),Sucesso (Verificado),por una cabeza carlos gardel,carlos gardel por una cabeza,100
Polka Dots and Moonbeams Jimmy Van Heusen,"""Polka Dots and Moonbeams"" Glenn Miller & His Orchestra, Johnny Burke & Jimmy Van Heusen song LYRICS",Sucesso (Verificado),polka dots and moonbeams jimmy van heusen,polka dots and moonbeams glenn miller his orchestra johnny burke jimmy van heusen song s,100
Prelude in E Minor Frédéric Chopin,Chopin - Prelude in E Minor op 28 no 4,Sucesso (Verificado),prelude in e minor frédéric chopin,chopin prelude in e minor op 28 no 4,88
Poinciana Nat Simon,"Poinciana, by Buddy Bernier, music by Nat Simon / arr. Mike Dana - Score & Sound",Sucesso (Verificado),poinciana nat simon,poinciana by buddy bernier music by nat simon arr mike dana score sound,100
Pretty Woman Roy Orbison,"Roy Orbison - Oh, Pretty Woman (Audio)",Sucesso (Verificado),pretty woman roy orbison,roy orbison oh pretty woman,100
Prelude to a Kiss Duke Ellington,Prelude to a Kiss,Sucesso (Verificado),prelude to a kiss duke ellington,prelude to a kiss,100
Put on a Happy Face Charles Strouse,"Put on a Happy Face (From ""Bye Bye Birdie"")",Sucesso (Verificado),put on a happy face charles strouse,put on a happy face,100
Puttin on the Ritz Irving Berlin,Puttin' On The Ritz,Sucesso (Verificado),puttin on the ritz irving berlin,puttin on the ritz,100
"Quando, Quando, Quando Tony Renis","Quando, Quando, Quando (2004 Remaster)",Sucesso (Verificado),quando quando quando tony renis,quando quando quando,100
Prisoner Of Love Russ Columbo,1931 HITS ARCHIVE: Prisoner Of Love - Russ Columbo,Sucesso (Verificado),prisoner of love russ columbo,1931 hits archive prisoner of love russ columbo,100
Quasimodo Charlie Parker,Charlie Parker - Quasimodo,Sucesso (Verificado),quasimodo charlie parker,charlie parker quasimodo,100
Portrait of Jennie J. Russel Robinson,"""Portrait Of Jennie"" by J. Russell Robinson",Sucesso (Verificado),portrait of jennie j russel robinson,portrait of jennie by j russell robinson,95
Rag Mop Johnnie Lee Wills,1st RECORDING OF: Rag Mop - Johnnie Lee Wills (1949),Sucesso (Verificado),rag mop johnnie lee wills,1st recording of rag mop johnnie lee wills,100
Ray’s Idea,Ray’s Idea,Sucesso (Verificado),rays idea,rays idea,100
Reflections Thelonious Monk,Reflections - Thelonious Monk,Sucesso (Verificado),reflections thelonious monk,reflections thelonious monk,100
Red Roses for a Blue Lady Sid Tepper,Red Roses For A Blue Lady - Sid Tepper (1948),Sucesso (Verificado),red roses for a blue lady sid tepper,red roses for a blue lady sid tepper,100
Recado Bossa Nova (The Gift) Djalma Ferreira,Recado Bossa Nova - The Gift -  Djalma Ferreira - 1959,Sucesso (Verificado),recado bossa nova djalma ferreira,recado bossa nova the gift djalma ferreira 1959,100
Rose Room Art Hickman,1919 Art Hickman - Rose Room,Sucesso (Verificado),rose room art hickman,1919 art hickman rose room,100
Robbin’s Nest Illinois Jacques,Robbin's Nest,Sucesso (Verificado),robbins nest illinois jacques,robbins nest,100
Route 66 Bobby Troup,[Get Your Kicks on] Route 66,Sucesso (Verificado),route 66 bobby troup,route 66,100
Royal garden blues Clarence Williams,Royal Garden Blues (Clarence Williams & Spencer Williams),Sucesso (Verificado),royal garden blues clarence williams,royal garden blues,100
Rosetta Earl Hines,Rosetta,Sucesso (Verificado),rosetta earl hines,rosetta,100
Russian Lullaby Irving Berlin,Russian Lullaby,Sucesso (Verificado),russian lullaby irving berlin,russian lullaby,100
"Ruby, My Dear Thelonious Monk","Thelonious Monk Quartet - Ruby, My Dear",Sucesso (Verificado),ruby my dear thelonious monk,thelonious monk quartet ruby my dear,100
Round Midnight Thelonius Monk,Thelonious Monk - 'round Midnight,Sucesso (Verificado),round midnight thelonius monk,thelonious monk round midnight,98
Samba do Avião Antônio Carlos Jobim,Samba Do Avião,Sucesso (Verificado),samba do avião antônio carlos jobim,samba do avião,100
Samba De Orfeu Luiz Bonfá,Samba de Orfeu,Sucesso (Verificado),samba de orfeu luiz bonfá,samba de orfeu,100
Scrapple from the Apple Charlie Parker,Charlie Parker - Scrapple from the apple,Sucesso (Verificado),scrapple from the apple charlie parker,charlie parker scrapple from the apple,100
Satin Doll Duke Ellington,Duke Ellington - Satin Doll (1962)  [official video],Sucesso (Verificado),satin doll duke ellington,duke ellington satin doll,100
Sentimental Journey Les Brown,"1945 HITS ARCHIVE: Sentimental Journey - Les Brown (Doris Day, vocal) (the original #1 version)",Sucesso (Verificado),sentimental journey les brown,1945 hits archive sentimental journey les brown,100
Scotch and Soda Dave Guard,Scotch and Soda,Sucesso (Verificado),scotch and soda dave guard,scotch and soda,100
Sent For You Yesterday William ‘Count’ Basie,Count Basie - Sent For You Yesterday (16.02.1938),Sucesso (Verificado),sent for you yesterday william count basie,count basie sent for you yesterday,100
Shape of my heart Sting Gordon Sumner,Sting - Shape of My Heart (Official Music Video),Sucesso (Verificado),shape of my heart sting gordon sumner,sting shape of my heart,100
Shine Ford Dabney,Shine,Sucesso (Verificado),shine ford dabney,shine,100
September Song Kurt Weill,Kurt Weill: September Song,Sucesso (Verificado),september song kurt weill,kurt weill september song,100
Shoo Shoo Baby Phil Moore,Shoo Shoo Baby,Sucesso (Verificado),shoo shoo baby phil moore,shoo shoo baby,100
Sister Sadie Horace Silver,Horace Silver Quintet - Sister Sadie,Sucesso (Verificado),sister sadie horace silver,horace silver quintet sister sadie,100
Smok Gets In Your Eyes Otto Harbach,"Otto Harbach, Martha Wright--Smoke Gets In Your Eyes, 1960 TV",Sucesso (Verificado),smok gets in your eyes otto harbach,otto harbach martha wrightsmoke gets in your eyes 1960 tv,92
Skylark Johnny Mercer,Skylark - Johnny Mercer & Hoagy Carmichael,Sucesso (Verificado),skylark johnny mercer,skylark johnny mercer hoagy carmichael,100
"Softly, as in a Morning Sunrise Sigmund Romberg",Softly as in a morning sunrise,Sucesso (Verificado),softly as in a morning sunrise sigmund romberg,softly as in a morning sunrise,100
Smoke on the Water Ritchie Blackmore,Smoke On The Water (2024 Remastered),Sucesso (Verificado),smoke on the water ritchie blackmore,smoke on the water,100
Sleepy Time Down South Clarence Muse,Sleepy Time Down South (High Resolution Version),Sucesso (Verificado),sleepy time down south clarence muse,sleepy time down south,100
Somebody Stole My Gal Leo Wood,Isto - Somebody Stole My Gal (Leo Wood),Sucesso (Verificado),somebody stole my gal leo wood,isto somebody stole my gal,89
Solid Sonny Rollins,Sonny Rollins - Solid (Official Visualizer),Sucesso (Verificado),solid sonny rollins,sonny rollins solid,100
Someday (You’ll Want Me to Want You) Jimmy Hodges,"Someday (You'll Want Me to Want You), Jimmy Hodges, 1944",Sucesso (Verificado),someday jimmy hodges,someday jimmy hodges 1944,100
Sometime Ago Sergio Mihanovitch,Sometime Ago,Sucesso (Verificado),sometime ago sergio mihanovitch,sometime ago,100
Sophisticated Lady Duke Ellington,Duke Ellington - Sophisticated Lady,Sucesso (Verificado),sophisticated lady duke ellington,duke ellington sophisticated lady,100
Soul Bossa Nova Quincy Jones,Soul Bossa Nova,Sucesso (Verificado),soul bossa nova quincy jones,soul bossa nova,100
Someday My Prince Will Come Frank Churchill,Someday My Prince Will Come (feat. Frank Churchill & Larry Morey),Sucesso (Verificado),someday my prince will come frank churchill,someday my prince will come,100
Spain Chick Corea,Spain,Sucesso (Verificado),spain chick corea,spain,100
Speak Low Kurt Weill,"""Speak Low"" written and performed by Kurt Weill",Sucesso (Verificado),speak low kurt weill,speak low written and performed by kurt weill,100
S’posin’ Andy Razaf,"S'Posin' by Andy Razaf, Paul Denniker",Sucesso (Verificado),sposin andy razaf,sposin by andy razaf paul denniker,100
Soul Eyes Mal Waldron,Mal Waldron - Soul Eyes (Mal Waldron),Sucesso (Verificado),soul eyes mal waldron,mal waldron soul eyes,100
Splanky Neal Paul Hefti,Neal Hefti  - Splanky,Sucesso (Verificado),splanky neal paul hefti,neal hefti splanky,100
St Louis Blues W. C. Handy,"W.C. Handy ""St. Louis Blues"" On The Ed Sullivan Show",Sucesso (Verificado),st louis blues w c handy,wc handy st louis blues on the ed sullivan show,91
St.Thomas Sonny Rollins,Sonny Rollins - St. Thomas (Official Audio),Sucesso (Verificado),stthomas sonny rollins,sonny rollins st thomas,98
Stardust Hoagy Carmichael,Stardust - Hoagy Carmichael - Original Version,Sucesso (Verificado),stardust hoagy carmichael,stardust hoagy carmichael original version,100
Stablemates Benny Golson,Benny Golson - Stablemates,Sucesso (Verificado),stablemates benny golson,benny golson stablemates,100
Straighten Up And Fly Right Nat King Cole,Straighten Up And Fly Right (Remastered),Sucesso (Verificado),straighten up and fly right nat king cole,straighten up and fly right,100
Stranger on the Shore Acker Bilk,Stranger On The Shore - Acker Bilk,Sucesso (Verificado),stranger on the shore acker bilk,stranger on the shore acker bilk,100
Second Line Parade,New Orleans Second Line: Experience the Soulful Rhythms and Vibrant Parade Perfect Gentlemen,Sucesso (Verificado),second line parade,new orleans second line experience the soulful rhythms and vibrant parade perfect gentlemen,100
Strangers in the Night Bert Kaempfert,Strangers In The Night,Sucesso (Verificado),strangers in the night bert kaempfert,strangers in the night,100
Sunny Bobby Hebb,Bobby Hebb - Sunny (Official Audio),Sucesso (Verificado),sunny bobby hebb,bobby hebb sunny,100
Summertime George Gershwin,Summertime - Porgy and Bess - George Gershwin - 1898-1937 - Piano and Voice,Sucesso (Verificado),summertime george gershwin,summertime porgy and bess george gershwin 18981937 piano and voice,100
Sway Luis Demetrio,Luis Demetrio   Sway,Sucesso (Verificado),sway luis demetrio,luis demetrio sway,100
Sweet Georgia Brown Ben Bernie,1st RECORDING OF: Sweet Georgia Brown - Ben Bernie (1925 instrumental),Sucesso (Verificado),sweet georgia brown ben bernie,1st recording of sweet georgia brown ben bernie,100
Swing 42,Swing 42 - Django Reinhardt,Sucesso (Verificado),swing 42,swing 42 django reinhardt,100
Sweet Lorraine Cliff Burwell,"Sweet Lorraine by Cliff Burwell & Mitchell Parish - Tony DeSare Trio at Shanghai Jazz (Madison, NJ)",Sucesso (Verificado),sweet lorraine cliff burwell,sweet lorraine by cliff burwell mitchell parish tony desare trio at shanghai jazz,100
Sweet Sue – Just You Victor Young,"Sweet Sue, Just You",Sucesso (Verificado),sweet sue just you victor young,sweet sue just you,100
Swing That Music Louis Armsrong,Swing That Music,Sucesso (Verificado),swing that music louis armsrong,swing that music,100
Tea for two Vincent Youmans,Tea for Two,Sucesso (Verificado),tea for two vincent youmans,tea for two,100
Teaneck,Teaneck Sound - 360 Degree Pictures,Sucesso (Verificado),teaneck,teaneck sound 360 degree pictures,100
Taking A Chance On Love Vernon Duke,Taking A Chance On Love (Vernon Duke's song),Sucesso (Verificado),taking a chance on love vernon duke,taking a chance on love,100
Tenderly Walter Gross,Walter Gross - Tenderly,Sucesso (Verificado),tenderly walter gross,walter gross tenderly,100
Days Of Wine And Roses Henry Mancini,Days Of Wine And Roses (REMASTERED),Sucesso (Verificado),days of wine and roses henry mancini,days of wine and roses,100
That Chick’s Too Young To Fry Tommy Edwards,"""That Chick's Too Young To Fry"" Deep River Boys (1946) Jimmy Hilliard & Tommy Edwards song",Sucesso (Verificado),that chicks too young to fry tommy edwards,that chicks too young to fry deep river boys jimmy hilliard tommy edwards song,100
The Christmas Song Robert Wells,The Christmas Song,Sucesso (Verificado),the christmas song robert wells,the christmas song,100
The Duke Dave Brubeck,The Duke,Sucesso (Verificado),the duke dave brubeck,the duke,100
That’s All Alan Brandt,That's All by Alan Brandt  and Bob Haymes - The Carolyn Dolan Quartet | FTLOJ Live Studio Sessions,Sucesso (Verificado),thats all alan brandt,thats all by alan brandt and bob haymes the carolyn dolan quartet ftloj studio sessions,100
The Gypsy,Gypsy (2018 Remaster),Sucesso (Verificado),the gypsy,gypsy,100
The Good Life Sacha Distel,Sacha Distel - The Good Life (Version 1973) (Remasterisé),Sucesso (Verificado),the good life sacha distel,sacha distel the good life,100
The Lady Is a Tramp Richard Rodgers,"The Lady Is a Tramp (Richard Rodgers, Lorenz Hart)",Sucesso (Verificado),the lady is a tramp richard rodgers,the lady is a tramp,100
The Man I Love,"""The Man I Love"" Ella Fitzgerald",Sucesso (Verificado),the man i love,the man i love ella fitzgerald,100
The Man That Got Away Harold Arlen,Harold Arlen - The Gal That Got Away,Sucesso (Verificado),the man that got away harold arlen,harold arlen the gal that got away,94
The Nearness Of You Carmichael,The Nearness Of You,Sucesso (Verificado),the nearness of you carmichael,the nearness of you,100
The Shadow of Your Smile Johnny Mandel,01 The Shadow Of Your Smile • Johnny Mandel,Sucesso (Verificado),the shadow of your smile johnny mandel,01 the shadow of your smile johnny mandel,100
The Party’s Over Betty Comden,Betty Comden - The Party's Over - Piano Backing Track Tutorials - Karaoke,Sucesso (Verificado),the partys over betty comden,betty comden the partys over piano backing track tutorials karaoke,100
The Preacher Horace Silver,The Preacher (Remastered 2004),Sucesso (Verificado),the preacher horace silver,the preacher,100
The Very Thought of You Ray Noble,"1934 HITS ARCHIVE: The Very Thought Of You - Ray Noble (Al Bowlly, vocal)",Sucesso (Verificado),the very thought of you ray noble,1934 hits archive the very thought of you ray noble,100
The Touch of Your Lips Ray Noble,Ray Noble Al Bowlly - The Touch Of  Your Lips 1933,Sucesso (Verificado),the touch of your lips ray noble,ray noble al bowlly the touch of your lips 1933,100
The Way You Look Tonight Jerome Kern,Jerome Kern - The Way You Look Tonight,Sucesso (Verificado),the way you look tonight jerome kern,jerome kern the way you look tonight,100
Theme for Ernie,John Coltrane - Theme For Ernie,Sucesso (Verificado),theme for ernie,john coltrane theme for ernie,100
Then I’ll Be Happy Cliff Friend,Then I'll Be Happy,Sucesso (Verificado),then ill be happy cliff friend,then ill be happy,100
Them There Eyes Maceo Pinkard,"13  Them There Eyes Maceo Pinkard, Doris Tauber and William Tracey",Sucesso (Verificado),them there eyes maceo pinkard,13 them there eyes maceo pinkard doris tauber and william tracey,100
There will never be another you,There Will Never Be Another You (Vocal Version),Sucesso (Verificado),there will never be another you,there will never be another you,100
There Is No Greater Love Isham Jones,There Is No Greater Love,Sucesso (Verificado),there is no greater love isham jones,there is no greater love,100
They Call It Stormy Monday Aaron Walker a.k.a. T-Bone Walker,Call It Stormy Monday,Sucesso (Verificado),they call it stormy monday aaron walker aka tbone walker,call it stormy monday,100
They Can’t Take That Away From Me George Gershwin,They Can't Take That Away from Me,Sucesso (Verificado),they cant take that away from me george gershwin,they cant take that away from me,100
Things Ain’t What They Used To Be Mercer Ellington,Duke Ellington - Things Ain't What They Used To Be (1962) [official video],Sucesso (Verificado),things aint what they used to be mercer ellington,duke ellington things aint what they used to be,94
This Love of Mine Sol Parker,This Love of Mine,Sucesso (Verificado),this love of mine sol parker,this love of mine,100
Till There Was You Meredith Wilson,Till There Was You (Remastered 2009),Sucesso (Verificado),till there was you meredith wilson,till there was you,100
Tombe la neige Salvatore Adamo,Tombe la Neige (Remastered),Sucesso (Verificado),tombe la neige salvatore adamo,tombe la neige,100
This Masquerade Leon Russell,This Masquerade,Sucesso (Verificado),this masquerade leon russell,this masquerade,100
Too Many Tears Harry Warren,Too Many Tears (Remastered),Sucesso (Verificado),too many tears harry warren,too many tears,100
Triste Antônio Carlos Jobim,Triste,Sucesso (Verificado),triste antônio carlos jobim,triste,100
"Toot, Toot, Tootsie (Goo’ Bye!) Gus Kahn","Toot, Toot, Tootsie! – Gus Kahn, Ernie Erdman and Dan Russo",Sucesso (Verificado),toot toot tootsie gus kahn,toot toot tootsie gus kahn ernie erdman and dan russo,100
Twelfth Street Rag Euday L. Bowman,"12th Street Rag by Euday L. Bowman ~ Aaron Robinson, piano",Sucesso (Verificado),twelfth street rag euday l bowman,12th street rag by euday l bowman aaron robinson piano,86
Tuxedo Junction Erskine Hawkins,1st RECORDING OF: Tuxedo Junction - Erskine Hawkins (1939),Sucesso (Verificado),tuxedo junction erskine hawkins,1st recording of tuxedo junction erskine hawkins,100
Un homme et une femme Francis Lai,Francis Lai - A Man and A Woman - Un Homme et Une Femme,Sucesso (Verificado),un homme et une femme francis lai,francis lai a man and a woman un homme et une femme,100
Two for the Road Henry Mancini,Henry Mancini Two For The Road (original motion picture soundtrack),Sucesso (Verificado),two for the road henry mancini,henry mancini two for the road,100
Unchained Melody Alex North,"Unchained Melody (From ""Unchained"")",Sucesso (Verificado),unchained melody alex north,unchained melody,100
Up a Lazy River Hoagy Carmichael,1st RECORDING OF: Lazy River - Hoagy Carmichael (1930),Sucesso (Verificado),up a lazy river hoagy carmichael,1st recording of lazy river hoagy carmichael,92
Undecided Sid Robin,Undecided - Charles Shavers | Sid Robin,Sucesso (Verificado),undecided sid robin,undecided charles shavers sid robin,100
Veja Bem Meu Bem,"Veja Bem, Meu Bem",Sucesso (Verificado),veja bem meu bem,veja bem meu bem,100
Volare Domenico Modugno,Volare (Nel Blu Dipinto Di Blu) (Remastered),Sucesso (Verificado),volare domenico modugno,volare,100
Virgo Wayne Shorter,Virgo (Remastered 2004 / Rudy Van Gelder Edition),Sucesso (Verificado),virgo wayne shorter,virgo,100
Watermelon Man Herbie Hancock,Watermelon Man,Sucesso (Verificado),watermelon man herbie hancock,watermelon man,100
Walkin’ My Baby Back Home Fred E. Ahlert,Walkin' My Baby Back Home (Words Roy Turk Music by Fred E. Ahlert),Sucesso (Verificado),walkin my baby back home fred e ahlert,walkin my baby back home,100
Voyage Kenny Barron,Voyage,Sucesso (Verificado),voyage kenny barron,voyage,100
Wave Antonio Carlos Jobim,Wave,Sucesso (Verificado),wave antonio carlos jobim,wave,100
Way down yonder in New Orleans Joe Turner Layton,Way Down Yonder In New Orleans,Sucesso (Verificado),way down yonder in new orleans joe turner layton,way down yonder in new orleans,100
What a Wonderful World Bob Thiele,Bob Thiele & Georg David Weis - What A Wonderful World (Lyrics),Sucesso (Verificado),what a wonderful world bob thiele,bob thiele georg david weis what a wonderful world,100
What Is This Thing Called Love Cole Porter,What Is This Thing Called Love,Sucesso (Verificado),what is this thing called love cole porter,what is this thing called love,100
"Well, You Needn’t Thelonious Monk",Well You Needn't by Thelonious Monk from 'Monk's Music',Sucesso (Verificado),well you neednt thelonious monk,well you neednt by thelonious monk from monks music,100
When I Fall In Love Victor Young,When I Fall in Love,Sucesso (Verificado),when i fall in love victor young,when i fall in love,100
Whatever Lola wants Richard Adler,Richard Adler - Jerry Ross: Whatever Lola wants,Sucesso (Verificado),whatever lola wants richard adler,richard adler jerry ross whatever lola wants,100
When the Saints,"Lady Gaga - Oh, When The Saints (Official Audio)",Sucesso (Verificado),when the saints,lady gaga oh when the saints,100
When Sunny Gets Blue Marvin Fisher,"When Sunny Gets Blue - Jack Segal & Marvin Fisher, 1946",Sucesso (Verificado),when sunny gets blue marvin fisher,when sunny gets blue jack segal marvin fisher 1946,100
When I Grow Too Old To Dream Sigmund Romberg,When I Grow Too Old to Dream / Remember,Sucesso (Verificado),when i grow too old to dream sigmund romberg,when i grow too old to dream remember,86
When Will the Blues Leave Ornette Coleman,Ornette Coleman - When Will The Blues Leave (Official Audio),Sucesso (Verificado),when will the blues leave ornette coleman,ornette coleman when will the blues leave,100
White Christmas Irving Berlin,"""White Christmas"" from Irving Berlin's WHITE CHRISTMAS (Official Lyric Video)",Sucesso (Verificado),white christmas irving berlin,white christmas from irving berlins white christmas,91
When you`re smiling Larry Shay,"Larry Shay, Mark Fisher, Joe Goodwin: When You're Smiling arr. by Tom Kubis",Sucesso (Verificado),when youre smiling larry shay,larry shay mark fisher joe goodwin when youre smiling arr by tom kubis,100
Who walk in when I walk out Al Goodhart,Who walks in When I Walk Out  by Ralph Freed/Al Hofman/Al Goodhart(Recording with dixieland band),Sucesso (Verificado),who walk in when i walk out al goodhart,who walks in when i walk out by ralph freedal hofmanal goodhart,95
Who Can I Turn To? Anthony Newley,Who Can I turn To (remastered audio) - Anthony Newley,Sucesso (Verificado),who can i turn to anthony newley,who can i turn to anthony newley,100
Whisper Not Benny Golson,♫ Whisper Not / Benny Golson Quintet,Sucesso (Verificado),whisper not benny golson,whisper not benny golson quintet,100
Who`s Sorry Now Ted Snyder,Ted Snyder: Who's Sorry Now - Salena Jones,Sucesso (Verificado),whos sorry now ted snyder,ted snyder whos sorry now salena jones,100
Windows Chick Corea,Windows,Sucesso (Verificado),windows chick corea,windows,100
Willow Weep for Me Ann Ronell,Χάρης Παπασιδέρης - Willow Weep For Me by Ann Ronell,Sucesso (Verificado),willow weep for me ann ronell,χάρης παπασιδέρης willow weep for me by ann ronell,100
Yardbird Suite Charlie Parker,Charlie Parker - Yardbird Suite (Official Audio),Sucesso (Verificado),yardbird suite charlie parker,charlie parker yardbird suite,100
Witchcraft Cy Coleman,Cy Coleman - Witchcraft,Sucesso (Verificado),witchcraft cy coleman,cy coleman witchcraft,100
Wolverine blues Jelly Roll Morton,Jelly Roll Morton - Wolverine Blues,Sucesso (Verificado),wolverine blues jelly roll morton,jelly roll morton wolverine blues,100
You Always Hurt The One You Love Allan Roberts,You Always Hurt The One You Love (1958 Version),Sucesso (Verificado),you always hurt the one you love allan roberts,you always hurt the one you love,100
You Are The Sunshine of My Life Stevie Wonder,You Are The Sunshine Of My Life,Sucesso (Verificado),you are the sunshine of my life stevie wonder,you are the sunshine of my life,100
Yesterdays Jerome Kern,Yesterdays,Sucesso (Verificado),yesterdays jerome kern,yesterdays,100
You Made Me Love You James V. Monaco,You Made Me Love You,Sucesso (Verificado),you made me love you james v monaco,you made me love you,100
You Can Depend On Me Charles Carpenter,You can depend on me,Sucesso (Verificado),you can depend on me charles carpenter,you can depend on me,100
You Make Me Feel So Young Josef Myrow,You Make me Feel so Young - by Josef Myrow,Sucesso (Verificado),you make me feel so young josef myrow,you make me feel so young by josef myrow,100
